level_0,Rank,ISO 3166-1 numeric code,Continents,Region,Country,2022,pop_cat
103,104,344,Asia,Eastern Asia,"China, Hong Kong SAR",7643000,5M - 10M
104,105,418,Asia,South-Eastern Asia,Lao People's Democratic Republic,7357000,5M - 10M
105,106,600,Latin America and the Caribbean,South America,Paraguay,7232000,5M - 10M
106,107,100,Europe,Eastern Europe,Bulgaria,6844000,5M - 10M
107,108,434,Africa,Northern Africa,Libya,6823000,5M - 10M
108,109,222,Latin America and the Caribbean,Central America,El Salvador,6545000,5M - 10M
109,110,558,Latin America and the Caribbean,Central America,Nicaragua,6544000,5M - 10M
110,111,417,Asia,Eastern Asia,Kyrgyzstan,6459000,5M - 10M
111,112,795,Asia,Eastern Asia,Turkmenistan,6200000,5M - 10M
112,113,702,Asia,South-Eastern Asia,Singapore,6040000,5M - 10M
113,114,178,Africa,Middle Africa,Congo,5984000,5M - 10M
114,115,422,Asia,Western Asia,Lebanon,5875000,5M - 10M
115,116,208,Europe,Northern Europe,Denmark,5842000,5M - 10M
116,117,232,Africa,Eastern Africa,Eritrea,5679000,5M - 10M
117,118,246,Europe,Northern Europe,Finland,5617000,5M - 10M
118,119,275,Asia,Western Asia,State of Palestine,5599000,5M - 10M
119,120,578,Europe,Northern Europe,Norway,5551000,5M - 10M
120,121,703,Europe,Eastern Europe,Slovakia,5450000,5M - 10M
121,122,512,Asia,Western Asia,Oman,5364000,5M - 10M
122,123,430,Africa,Western Africa,Liberia,5363000,5M - 10M
123,124,140,Africa,Middle Africa,Central African Republic,5132000,5M - 10M
124,125,188,Latin America and the Caribbean,Central America,Costa Rica,5130000,5M - 10M
125,126,478,Africa,Western Africa,Mauritania,5033000,5M - 10M
126,127,372,Europe,Northern Europe,Ireland,4962000,1M - 5M
127,128,554,Oceania,Australia/New Zealand,New Zealand,4916000,1M - 5M
128,129,414,Asia,Western Asia,Kuwait,4422000,1M - 5M
129,130,591,Latin America and the Caribbean,Central America,Panama,4414000,1M - 5M
130,131,191,Europe,Southern Europe,Croatia,4069000,1M - 5M
131,132,498,Europe,Eastern Europe,Republic of Moldova,3991000,1M - 5M
132,133,268,Asia,Western Asia,Georgia,3876000,1M - 5M
133,134,630,Latin America and the Caribbean,Caribbean,Puerto Rico,3640000,1M - 5M
134,135,858,Latin America and the Caribbean,South America,Uruguay,3517000,1M - 5M
135,136,70,Europe,Southern Europe,Bosnia and Herzegovina,3484000,1M - 5M
136,137,496,Asia,Eastern Asia,Mongolia,3291000,1M - 5M
137,138,8,Europe,Southern Europe,Albania,2947000,1M - 5M
138,139,51,Asia,Western Asia,Armenia,2940000,1M - 5M
139,140,388,Latin America and the Caribbean,Caribbean,Jamaica,2924000,1M - 5M
140,141,634,Asia,Western Asia,Qatar,2889000,1M - 5M
141,142,440,Europe,Northern Europe,Lithuania,2827000,1M - 5M
142,143,516,Africa,Southern Africa,Namibia,2806000,1M - 5M
143,144,72,Africa,Southern Africa,Botswana,2497000,1M - 5M
144,145,270,Africa,Western Africa,Gambia,2427000,1M - 5M
145,146,426,Africa,Southern Africa,Lesotho,2381000,1M - 5M
146,147,266,Africa,Middle Africa,Gabon,2238000,1M - 5M
147,148,624,Africa,Western Africa,Guinea-Bissau,2096000,1M - 5M
148,149,807,Europe,Southern Europe,TFYR Macedonia,2089000,1M - 5M
149,150,705,Europe,Southern Europe,Slovenia,2081000,1M - 5M
150,151,428,Europe,Northern Europe,Latvia,1859000,1M - 5M
151,152,48,Asia,Western Asia,Bahrain,1780000,1M - 5M
152,153,226,Africa,Middle Africa,Equatorial Guinea,1498000,1M - 5M
153,154,748,Africa,Southern Africa,Swaziland,1486000,1M - 5M
154,155,626,Asia,South-Eastern Asia,Timor-Leste,1442000,1M - 5M
155,156,780,Latin America and the Caribbean,Caribbean,Trinidad and Tobago,1381000,1M - 5M
156,157,233,Europe,Northern Europe,Estonia,1293000,1M - 5M
157,158,480,Africa,Eastern Africa,Mauritius,1279000,1M - 5M
158,159,196,Asia,Western Asia,Cyprus,1224000,1M - 5M
159,160,262,Africa,Eastern Africa,Djibouti,1028000,1M - 5M
160,161,242,Oceania,Melanesia,Fiji,936000,"100,000 - 1M"
161,162,638,Africa,Eastern Africa,Réunion,910000,"100,000 - 1M"
162,163,174,Africa,Eastern Africa,Comoros,907000,"100,000 - 1M"
163,164,64,Asia,Southern Asia,Bhutan,853000,"100,000 - 1M"
164,165,328,Latin America and the Caribbean,South America,Guyana,799000,"100,000 - 1M"
165,166,446,Asia,Eastern Asia,"China, Macao SAR",672000,"100,000 - 1M"
166,167,90,Oceania,Melanesia,Solomon Islands,672000,"100,000 - 1M"
167,168,499,Europe,Southern Europe,Montenegro,629000,"100,000 - 1M"
168,169,732,Africa,Northern Africa,Western Sahara,626000,"100,000 - 1M"
169,170,442,Europe,Western Europe,Luxembourg,619000,"100,000 - 1M"
170,171,740,Latin America and the Caribbean,South America,Suriname,587000,"100,000 - 1M"
171,172,132,Africa,Western Africa,Cabo Verde,581000,"100,000 - 1M"
172,173,462,Asia,Southern Asia,Maldives,472000,"100,000 - 1M"
173,174,96,Asia,South-Eastern Asia,Brunei Darussalam,455000,"100,000 - 1M"
174,175,312,Latin America and the Caribbean,Caribbean,Guadeloupe,448000,"100,000 - 1M"
175,176,470,Europe,Southern Europe,Malta,437000,"100,000 - 1M"
176,177,84,Latin America and the Caribbean,Central America,Belize,414000,"100,000 - 1M"
177,178,44,Latin America and the Caribbean,Caribbean,Bahamas,414000,"100,000 - 1M"
178,179,474,Latin America and the Caribbean,Caribbean,Martinique,385000,"100,000 - 1M"
179,180,352,Europe,Northern Europe,Iceland,348000,"100,000 - 1M"
180,181,254,Latin America and the Caribbean,South America,French Guiana,318000,"100,000 - 1M"
181,182,548,Oceania,Melanesia,Vanuatu,306000,"100,000 - 1M"
182,183,540,Oceania,Melanesia,New Caledonia,294000,"100,000 - 1M"
183,184,258,Oceania,Polynesia,French Polynesia,294000,"100,000 - 1M"
184,185,52,Latin America and the Caribbean,Caribbean,Barbados,289000,"100,000 - 1M"
185,186,175,Africa,Eastern Africa,Mayotte,287000,"100,000 - 1M"
186,187,678,Africa,Middle Africa,Sao Tome and Principe,227000,"100,000 - 1M"
187,188,882,Oceania,Polynesia,Samoa,203000,"100,000 - 1M"
188,189,662,Latin America and the Caribbean,Caribbean,Saint Lucia,183000,"100,000 - 1M"
189,190,316,Oceania,Micronesia,Guam,171000,"100,000 - 1M"
190,191,830,Europe,Northern Europe,Channel Islands,169000,"100,000 - 1M"
191,192,531,Latin America and the Caribbean,Caribbean,Curaçao,165000,"100,000 - 1M"
192,193,296,Oceania,Micronesia,Kiribati,126000,"100,000 - 1M"
193,194,776,Oceania,Polynesia,Tonga,113000,"100,000 - 1M"
194,195,670,Latin America and the Caribbean,Caribbean,Saint Vincent and the Grenadines,111000,"100,000 - 1M"
195,196,308,Latin America and the Caribbean,Caribbean,Grenada,110000,"100,000 - 1M"
196,197,583,Oceania,Micronesia,Micronesia (Fed. States of),109000,"100,000 - 1M"
197,198,28,Latin America and the Caribbean,Caribbean,Antigua and Barbuda,107000,"100,000 - 1M"
198,199,533,Latin America and the Caribbean,Caribbean,Aruba,107000,"100,000 - 1M"
199,200,850,Latin America and the Caribbean,Caribbean,United States Virgin Islands,105000,"100,000 - 1M"
200,201,690,Africa,Eastern Africa,Seychelles,97000,"Less Than 100,000"
201,202,833,Europe,Northern Europe,Isle of Man,87000,"Less Than 100,000"
202,203,20,Europe,Southern Europe,Andorra,77000,"Less Than 100,000"
203,204,212,Latin America and the Caribbean,Caribbean,Dominica,76000,"Less Than 100,000"
204,205,136,Latin America and the Caribbean,Caribbean,Cayman Islands,65000,"Less Than 100,000"
205,206,60,Northern America,Northern America,Bermuda,60000,"Less Than 100,000"
206,207,659,Latin America and the Caribbean,Caribbean,Saint Kitts and Nevis,58000,"Less Than 100,000"
207,208,304,Northern America,Northern America,Greenland,57000,"Less Than 100,000"
208,209,16,Oceania,Polynesia,American Samoa,56000,"Less Than 100,000"
209,210,580,Oceania,Micronesia,Northern Mariana Islands,56000,"Less Than 100,000"
210,211,584,Oceania,Micronesia,Marshall Islands,53000,"Less Than 100,000"
211,212,234,Europe,Northern Europe,Faeroe Islands,50000,"Less Than 100,000"
212,213,534,Latin America and the Caribbean,Caribbean,Sint Maarten (Dutch part),42000,"Less Than 100,000"
213,214,492,Europe,Western Europe,Monaco,40000,"Less Than 100,000"
214,215,438,Europe,Western Europe,Liechtenstein,39000,"Less Than 100,000"
215,216,796,Latin America and the Caribbean,Caribbean,Turks and Caicos Islands,38000,"Less Than 100,000"
216,217,292,Europe,Southern Europe,Gibraltar,35000,"Less Than 100,000"
217,218,674,Europe,Southern Europe,San Marino,34000,"Less Than 100,000"
218,219,92,Latin America and the Caribbean,Caribbean,British Virgin Islands,33000,"Less Than 100,000"
219,220,535,Latin America and the Caribbean,Caribbean,Caribbean Netherlands,27000,"Less Than 100,000"
220,221,585,Oceania,Micronesia,Palau,23000,"Less Than 100,000"
221,222,184,Oceania,Polynesia,Cook Islands,18000,"Less Than 100,000"
222,223,660,Latin America and the Caribbean,Caribbean,Anguilla,15000,"Less Than 100,000"
223,224,798,Oceania,Polynesia,Tuvalu,12000,"Less Than 100,000"
224,225,876,Oceania,Polynesia,Wallis and Futuna Islands,11000,"Less Than 100,000"
225,226,520,Oceania,Micronesia,Nauru,11000,"Less Than 100,000"
226,227,666,Northern America,Northern America,Saint Pierre and Miquelon,7000,"Less Than 100,000"
227,228,500,Latin America and the Caribbean,Caribbean,Montserrat,5000,"Less Than 100,000"
228,229,654,Africa,Western Africa,Saint Helena,4000,"Less Than 100,000"
229,230,238,Latin America and the Caribbean,South America,Falkland Islands (Malvinas),3000,"Less Than 100,000"
230,231,570,Oceania,Polynesia,Niue,2000,"Less Than 100,000"
231,232,772,Oceania,Polynesia,Tokelau,1000,
232,233,336,Europe,Southern Europe,Holy See,1000,
