Rank,Continents,Region,Country,2022 Population,Category,Year
84,Latin America and the Caribbean,Caribbean,Cuba,11504000,1M - 30M,2022-01-01
85,Latin America and the Caribbean,Caribbean,Dominican Republic,11325000,1M - 30M,2022-01-01
86,Europe,Southern Europe,Greece,11045000,1M - 30M,2022-01-01
87,Europe,Eastern Europe,Czechia,10632000,1M - 30M,2022-01-01
88,Asia,Western Asia,Jordan,10405000,1M - 30M,2022-01-01
89,Asia,Western Asia,Azerbaijan,10253000,1M - 30M,2022-01-01
90,Europe,Northern Europe,Sweden,10252000,1M - 30M,2022-01-01
91,Europe,Southern Europe,Portugal,10148000,1M - 30M,2022-01-01
92,Asia,Western Asia,United Arab Emirates,10062000,1M - 30M,2022-01-01
93,Latin America and the Caribbean,Central America,Honduras,10017000,1M - 30M,2022-01-01
94,Asia,Eastern Asia,Tajikistan,9836000,1M - 30M,2022-01-01
95,Europe,Eastern Europe,Hungary,9551000,1M - 30M,2022-01-01
96,Europe,Eastern Europe,Belarus,9378000,1M - 30M,2022-01-01
97,Oceania,Melanesia,Papua New Guinea,9097000,1M - 30M,2022-01-01
98,Asia,Western Asia,Israel,8969000,1M - 30M,2022-01-01
99,Europe,Western Europe,Austria,8820000,1M - 30M,2022-01-01
100,Europe,Western Europe,Switzerland,8790000,1M - 30M,2022-01-01
101,Africa,Western Africa,Togo,8787000,1M - 30M,2022-01-01
102,Europe,Southern Europe,Serbia,8642000,1M - 30M,2022-01-01
103,Africa,Western Africa,Sierra Leone,8376000,1M - 30M,2022-01-01
104,Asia,Eastern Asia,"China, Hong Kong SAR",7643000,1M - 30M,2022-01-01
105,Asia,South-Eastern Asia,Lao People's Democratic Republic,7357000,1M - 30M,2022-01-01
106,Latin America and the Caribbean,South America,Paraguay,7232000,1M - 30M,2022-01-01
107,Europe,Eastern Europe,Bulgaria,6844000,1M - 30M,2022-01-01
108,Africa,Northern Africa,Libya,6823000,1M - 30M,2022-01-01
109,Latin America and the Caribbean,Central America,El Salvador,6545000,1M - 30M,2022-01-01
110,Latin America and the Caribbean,Central America,Nicaragua,6544000,1M - 30M,2022-01-01
111,Asia,Eastern Asia,Kyrgyzstan,6459000,1M - 30M,2022-01-01
112,Asia,Eastern Asia,Turkmenistan,6200000,1M - 30M,2022-01-01
113,Asia,South-Eastern Asia,Singapore,6040000,1M - 30M,2022-01-01
114,Africa,Middle Africa,Congo,5984000,1M - 30M,2022-01-01
115,Asia,Western Asia,Lebanon,5875000,1M - 30M,2022-01-01
116,Europe,Northern Europe,Denmark,5842000,1M - 30M,2022-01-01
117,Africa,Eastern Africa,Eritrea,5679000,1M - 30M,2022-01-01
118,Europe,Northern Europe,Finland,5617000,1M - 30M,2022-01-01
119,Asia,Western Asia,State of Palestine,5599000,1M - 30M,2022-01-01
120,Europe,Northern Europe,Norway,5551000,1M - 30M,2022-01-01
121,Europe,Eastern Europe,Slovakia,5450000,1M - 30M,2022-01-01
122,Asia,Western Asia,Oman,5364000,1M - 30M,2022-01-01
123,Africa,Western Africa,Liberia,5363000,1M - 30M,2022-01-01
124,Africa,Middle Africa,Central African Republic,5132000,1M - 30M,2022-01-01
125,Latin America and the Caribbean,Central America,Costa Rica,5130000,1M - 30M,2022-01-01
126,Africa,Western Africa,Mauritania,5033000,1M - 30M,2022-01-01
127,Europe,Northern Europe,Ireland,4962000,1M - 30M,2022-01-01
128,Oceania,Australia/New Zealand,New Zealand,4916000,1M - 30M,2022-01-01
129,Asia,Western Asia,Kuwait,4422000,1M - 30M,2022-01-01
130,Latin America and the Caribbean,Central America,Panama,4414000,1M - 30M,2022-01-01
131,Europe,Southern Europe,Croatia,4069000,1M - 30M,2022-01-01
132,Europe,Eastern Europe,Republic of Moldova,3991000,1M - 30M,2022-01-01
133,Asia,Western Asia,Georgia,3876000,1M - 30M,2022-01-01
134,Latin America and the Caribbean,Caribbean,Puerto Rico,3640000,1M - 30M,2022-01-01
135,Latin America and the Caribbean,South America,Uruguay,3517000,1M - 30M,2022-01-01
136,Europe,Southern Europe,Bosnia and Herzegovina,3484000,1M - 30M,2022-01-01
137,Asia,Eastern Asia,Mongolia,3291000,1M - 30M,2022-01-01
138,Europe,Southern Europe,Albania,2947000,1M - 30M,2022-01-01
139,Asia,Western Asia,Armenia,2940000,1M - 30M,2022-01-01
140,Latin America and the Caribbean,Caribbean,Jamaica,2924000,1M - 30M,2022-01-01
141,Asia,Western Asia,Qatar,2889000,1M - 30M,2022-01-01
142,Europe,Northern Europe,Lithuania,2827000,1M - 30M,2022-01-01
143,Africa,Southern Africa,Namibia,2806000,1M - 30M,2022-01-01
144,Africa,Southern Africa,Botswana,2497000,1M - 30M,2022-01-01
145,Africa,Western Africa,Gambia,2427000,1M - 30M,2022-01-01
146,Africa,Southern Africa,Lesotho,2381000,1M - 30M,2022-01-01
147,Africa,Middle Africa,Gabon,2238000,1M - 30M,2022-01-01
148,Africa,Western Africa,Guinea-Bissau,2096000,1M - 30M,2022-01-01
149,Europe,Southern Europe,TFYR Macedonia,2089000,1M - 30M,2022-01-01
150,Europe,Southern Europe,Slovenia,2081000,1M - 30M,2022-01-01
151,Europe,Northern Europe,Latvia,1859000,1M - 30M,2022-01-01
152,Asia,Western Asia,Bahrain,1780000,1M - 30M,2022-01-01
153,Africa,Middle Africa,Equatorial Guinea,1498000,1M - 30M,2022-01-01
154,Africa,Southern Africa,Swaziland,1486000,1M - 30M,2022-01-01
155,Asia,South-Eastern Asia,Timor-Leste,1442000,1M - 30M,2022-01-01
156,Latin America and the Caribbean,Caribbean,Trinidad and Tobago,1381000,1M - 30M,2022-01-01
157,Europe,Northern Europe,Estonia,1293000,1M - 30M,2022-01-01
158,Africa,Eastern Africa,Mauritius,1279000,1M - 30M,2022-01-01
159,Asia,Western Asia,Cyprus,1224000,1M - 30M,2022-01-01
160,Africa,Eastern Africa,Djibouti,1028000,1M - 30M,2022-01-01
161,Oceania,Melanesia,Fiji,936000,Less Than 1M,2022-01-01
162,Africa,Eastern Africa,Réunion,910000,Less Than 1M,2022-01-01
163,Africa,Eastern Africa,Comoros,907000,Less Than 1M,2022-01-01
164,Asia,Southern Asia,Bhutan,853000,Less Than 1M,2022-01-01
165,Latin America and the Caribbean,South America,Guyana,799000,Less Than 1M,2022-01-01
166,Asia,Eastern Asia,"China, Macao SAR",672000,Less Than 1M,2022-01-01
167,Oceania,Melanesia,Solomon Islands,672000,Less Than 1M,2022-01-01
168,Europe,Southern Europe,Montenegro,629000,Less Than 1M,2022-01-01
169,Africa,Northern Africa,Western Sahara,626000,Less Than 1M,2022-01-01
170,Europe,Western Europe,Luxembourg,619000,Less Than 1M,2022-01-01
171,Latin America and the Caribbean,South America,Suriname,587000,Less Than 1M,2022-01-01
172,Africa,Western Africa,Cabo Verde,581000,Less Than 1M,2022-01-01
173,Asia,Southern Asia,Maldives,472000,Less Than 1M,2022-01-01
174,Asia,South-Eastern Asia,Brunei Darussalam,455000,Less Than 1M,2022-01-01
175,Latin America and the Caribbean,Caribbean,Guadeloupe,448000,Less Than 1M,2022-01-01
176,Europe,Southern Europe,Malta,437000,Less Than 1M,2022-01-01
177,Latin America and the Caribbean,Central America,Belize,414000,Less Than 1M,2022-01-01
178,Latin America and the Caribbean,Caribbean,Bahamas,414000,Less Than 1M,2022-01-01
179,Latin America and the Caribbean,Caribbean,Martinique,385000,Less Than 1M,2022-01-01
180,Europe,Northern Europe,Iceland,348000,Less Than 1M,2022-01-01
181,Latin America and the Caribbean,South America,French Guiana,318000,Less Than 1M,2022-01-01
182,Oceania,Melanesia,Vanuatu,306000,Less Than 1M,2022-01-01
183,Oceania,Melanesia,New Caledonia,294000,Less Than 1M,2022-01-01
184,Oceania,Polynesia,French Polynesia,294000,Less Than 1M,2022-01-01
185,Latin America and the Caribbean,Caribbean,Barbados,289000,Less Than 1M,2022-01-01
186,Africa,Eastern Africa,Mayotte,287000,Less Than 1M,2022-01-01
187,Africa,Middle Africa,Sao Tome and Principe,227000,Less Than 1M,2022-01-01
188,Oceania,Polynesia,Samoa,203000,Less Than 1M,2022-01-01
189,Latin America and the Caribbean,Caribbean,Saint Lucia,183000,Less Than 1M,2022-01-01
190,Oceania,Micronesia,Guam,171000,Less Than 1M,2022-01-01
191,Europe,Northern Europe,Channel Islands,169000,Less Than 1M,2022-01-01
192,Latin America and the Caribbean,Caribbean,Curaçao,165000,Less Than 1M,2022-01-01
193,Oceania,Micronesia,Kiribati,126000,Less Than 1M,2022-01-01
194,Oceania,Polynesia,Tonga,113000,Less Than 1M,2022-01-01
195,Latin America and the Caribbean,Caribbean,Saint Vincent and the Grenadines,111000,Less Than 1M,2022-01-01
196,Latin America and the Caribbean,Caribbean,Grenada,110000,Less Than 1M,2022-01-01
197,Oceania,Micronesia,Micronesia (Fed. States of),109000,Less Than 1M,2022-01-01
198,Latin America and the Caribbean,Caribbean,Antigua and Barbuda,107000,Less Than 1M,2022-01-01
199,Latin America and the Caribbean,Caribbean,Aruba,107000,Less Than 1M,2022-01-01
200,Latin America and the Caribbean,Caribbean,United States Virgin Islands,105000,Less Than 1M,2022-01-01
201,Africa,Eastern Africa,Seychelles,97000,Less Than 1M,2022-01-01
202,Europe,Northern Europe,Isle of Man,87000,Less Than 1M,2022-01-01
203,Europe,Southern Europe,Andorra,77000,Less Than 1M,2022-01-01
204,Latin America and the Caribbean,Caribbean,Dominica,76000,Less Than 1M,2022-01-01
205,Latin America and the Caribbean,Caribbean,Cayman Islands,65000,Less Than 1M,2022-01-01
206,Northern America,Northern America,Bermuda,60000,Less Than 1M,2022-01-01
207,Latin America and the Caribbean,Caribbean,Saint Kitts and Nevis,58000,Less Than 1M,2022-01-01
208,Northern America,Northern America,Greenland,57000,Less Than 1M,2022-01-01
209,Oceania,Polynesia,American Samoa,56000,Less Than 1M,2022-01-01
210,Oceania,Micronesia,Northern Mariana Islands,56000,Less Than 1M,2022-01-01
211,Oceania,Micronesia,Marshall Islands,53000,Less Than 1M,2022-01-01
212,Europe,Northern Europe,Faeroe Islands,50000,Less Than 1M,2022-01-01
213,Latin America and the Caribbean,Caribbean,Sint Maarten (Dutch part),42000,Less Than 1M,2022-01-01
214,Europe,Western Europe,Monaco,40000,Less Than 1M,2022-01-01
215,Europe,Western Europe,Liechtenstein,39000,Less Than 1M,2022-01-01
216,Latin America and the Caribbean,Caribbean,Turks and Caicos Islands,38000,Less Than 1M,2022-01-01
217,Europe,Southern Europe,Gibraltar,35000,Less Than 1M,2022-01-01
218,Europe,Southern Europe,San Marino,34000,Less Than 1M,2022-01-01
219,Latin America and the Caribbean,Caribbean,British Virgin Islands,33000,Less Than 1M,2022-01-01
220,Latin America and the Caribbean,Caribbean,Caribbean Netherlands,27000,Less Than 1M,2022-01-01
221,Oceania,Micronesia,Palau,23000,Less Than 1M,2022-01-01
222,Oceania,Polynesia,Cook Islands,18000,Less Than 1M,2022-01-01
223,Latin America and the Caribbean,Caribbean,Anguilla,15000,Less Than 1M,2022-01-01
224,Oceania,Polynesia,Tuvalu,12000,Less Than 1M,2022-01-01
225,Oceania,Polynesia,Wallis and Futuna Islands,11000,Less Than 1M,2022-01-01
226,Oceania,Micronesia,Nauru,11000,Less Than 1M,2022-01-01
227,Northern America,Northern America,Saint Pierre and Miquelon,7000,Less Than 1M,2022-01-01
228,Latin America and the Caribbean,Caribbean,Montserrat,5000,Less Than 1M,2022-01-01
229,Africa,Western Africa,Saint Helena,4000,Less Than 1M,2022-01-01
230,Latin America and the Caribbean,South America,Falkland Islands (Malvinas),3000,Less Than 1M,2022-01-01
231,Oceania,Polynesia,Niue,2000,Less Than 1M,2022-01-01
232,Oceania,Polynesia,Tokelau,1000,Less Than 1M,2022-01-01
233,Europe,Southern Europe,Holy See,1000,Less Than 1M,2022-01-01
